id,w,division,type
00669,5795.56,1,5
00670,4751.97,4,2
00671,9396.77,5,2
00672,4286.3,1,2
00673,6267.58,4,4
00674,6054.97,5,2
00675,9431.33,10,5
00676,13602.36,3,2
00677,8487.08,5,5
00678,7169.31,10,2
00679,7140.04,10,4
00680,7756.87,7,2
00681,10249.23,7,2
00682,29353.05,3,2
00683,14226.59,5,5
00684,4929.41,4,2
00685,9323.8,4,2
00686,11284.72,5,2
00687,6552.25,10,2
00688,6557.74,5,2
00689,6589.42,10,2
00690,10153.14,5,3
00691,6503.5,8,2
00692,15485.73,2,2
00693,20672.11,3,5
00694,6506.7,5,2
00695,6574.54,5,2
00696,6800.58,5,2
00697,9190.81,6,5
00698,9610.32,10,5
00699,6494.11,1,4
00700,6798.75,10,2
00701,7862.34,2,2
00702,8877.69,10,2
00703,8542.97,7,2
00704,5827.58,4,5
00705,8416.45,5,5
00706,8543.86,4,1
00707,6989.1,5,2
00708,4977.19,4,2
00709,10691.25,10,5
00710,6936.83,10,2
00711,15966.07,5,2
00712,8050.41,5,2
00713,7595.51,1,2
00714,3409.68,4,2
00715,16178.31,3,1
00716,6183.7,10,5
00717,6822.46,10,4
00718,7549.59,6,2
00719,4232.49,4,2
00720,7305.68,10,2
00721,6050.4,8,2
00722,4065.83,1,5
00723,7549.59,6,2
00724,4702.48,4,2
00725,4590.24,8,2
00726,7742.86,2,2
00727,9431.33,10,5
00728,8140.75,2,5
00729,4310.36,1,5
00730,6763.24,5,2
00731,7444,10,3
00732,11615.45,6,2
00733,11936.68,10,2
00734,6165.75,5,2
00735,20093.3,3,5
00736,2711.43,4,2
00737,6596.35,10,2
00738,7681.77,10,2
00739,8383.69,5,2
00740,16847.45,3,2
00741,9620.35,9,1
00742,10845.2,3,2
00743,5067.91,4,5
00744,6552.24,5,2
00745,16725,8,2
00746,5789.37,1,2
00747,6054.97,5,2
00748,6297.04,5,2
00749,14293.97,2,2
00750,5414.54,1,2
00751,9909.89,2,5
00752,4751.97,4,2
00753,7131.08,10,2
00754,14912.07,5,5
00755,6297.04,5,2
00756,9666.31,2,5
00757,11085.54,5,4
00758,6004.19,5,2
00759,10669.31,7,2
00760,3743.52,8,3
00761,10643.58,6,2
00762,9290.39,3,2
00763,3512.47,4,2
00764,6027.16,1,2
00765,7093.98,10,2
00766,9401.19,10,2
00767,34738.58,7,2
00768,4232.49,4,2
00769,3805.6,4,5
00770,4388.98,4,2
00771,7169.31,10,2
00772,3909.18,4,2
00773,8316.77,4,5
00774,7093.98,10,2
00775,18571.93,3,5
00776,7634.59,7,5
00777,6905.03,7,2
00778,4559.17,8,2
00779,7949.29,10,1
00780,6576.85,7,2
00781,15007.72,5,4
00782,11475.38,9,2
00783,8599.17,10,2
00784,19500.09,3,5
00785,13684.46,5,5
